Timing of quickSort,size (N),time (ns)
trial, 1024, 2552666.000000
trial, 2048, 422542.000000
trial, 4096, 879833.000000
trial, 8192, 1994042.000000
trial, 16384, 4455000.000000
trial, 32768, 3662500.000000
trial, 65536, 8185416.000000
trial, 131072, 19448334.000000
trial, 262144, 41815583.000000
trial, 524288, 92865417.000000
trial, 1048576, 181807833.000000
